time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2026-07-03 09:11:00,7506.2,7506.3,7504.7,7505.0,7506.8,7506.9,7505.3,7505.6,49
2026-07-03 09:12:00,7505.1,7505.2,7504.1,7504.3,7505.7,7505.8,7504.7,7504.9,42
2026-07-03 09:13:00,7504.1,7504.3,7503.5,7503.8,7504.7,7504.9,7504.1,7504.4,39
2026-07-03 09:14:00,7503.9,7504.3,7503.8,7504.0,7504.5,7504.9,7504.4,7504.6,33
2026-07-03 09:15:00,7503.8,7504.2,7503.2,7503.7,7504.4,7504.8,7503.8,7504.3,43
2026-07-03 09:16:00,7503.4,7504.3,7503.3,7503.8,7504.0,7504.9,7503.9,7504.4,28
2026-07-03 09:17:00,7504.0,7504.5,7503.1,7503.8,7504.6,7505.1,7503.7,7504.4,45
2026-07-03 09:18:00,7504.0,7504.2,7504.0,7504.2,7504.6,7504.8,7504.6,7504.8,29
2026-07-03 09:19:00,7504.5,7504.5,7503.5,7504.1,7505.1,7505.1,7504.1,7504.7,34
2026-07-03 09:20:00,7504.4,7505.2,7504.0,7504.7,7505.0,7505.8,7504.6,7505.3,33
2026-07-03 09:21:00,7504.4,7504.9,7503.6,7503.7,7505.0,7505.5,7504.2,7504.3,33
2026-07-03 09:22:00,7503.8,7503.9,7502.4,7502.6,7504.4,7504.5,7503.0,7503.2,72
2026-07-03 09:23:00,7502.3,7503.5,7502.2,7503.2,7502.9,7504.1,7502.8,7503.8,50
2026-07-03 09:24:00,7503.5,7504.0,7503.5,7503.7,7504.1,7504.6,7504.1,7504.3,22
2026-07-03 09:25:00,7503.5,7504.2,7503.4,7503.9,7504.1,7504.8,7504.0,7504.5,39
2026-07-03 09:26:00,7504.0,7504.5,7503.9,7504.2,7504.6,7505.1,7504.5,7504.8,29
2026-07-03 09:27:00,7504.7,7505.0,7503.4,7503.4,7505.3,7505.6,7504.0,7504.0,22
2026-07-03 09:28:00,7503.2,7503.9,7502.8,7503.1,7503.8,7504.5,7503.4,7503.7,49
2026-07-03 09:29:00,7502.9,7503.4,7502.6,7503.3,7503.5,7504.0,7503.2,7503.9,25
2026-07-03 09:30:00,7503.1,7503.9,7502.7,7502.9,7503.7,7504.5,7503.3,7503.5,31
2026-07-03 09:31:00,7502.8,7502.8,7501.1,7501.5,7503.4,7503.4,7501.7,7502.1,42
2026-07-03 09:32:00,7501.8,7501.8,7500.0,7500.7,7502.4,7502.4,7500.6,7501.3,39
2026-07-03 09:33:00,7500.9,7501.6,7500.8,7501.6,7501.5,7502.2,7501.4,7502.2,17
2026-07-03 09:34:00,7501.7,7501.8,7500.9,7500.9,7502.3,7502.4,7501.5,7501.5,30
2026-07-03 09:35:00,7500.6,7502.6,7500.3,7502.2,7501.2,7503.2,7500.9,7502.8,44
2026-07-03 09:36:00,7502.0,7502.2,7501.5,7502.0,7502.6,7502.8,7502.1,7502.6,28
2026-07-03 09:37:00,7501.9,7502.5,7501.5,7502.5,7502.5,7503.1,7502.1,7503.1,12
2026-07-03 09:38:00,7502.6,7503.2,7502.4,7503.2,7503.2,7503.8,7503.0,7503.8,23
2026-07-03 09:39:00,7503.1,7503.5,7502.3,7502.3,7503.7,7504.1,7502.9,7502.9,12
2026-07-03 09:40:00,7502.6,7502.6,7501.4,7501.4,7503.2,7503.2,7502.0,7502.0,25
2026-07-03 09:41:00,7501.2,7501.2,7500.6,7500.8,7501.8,7501.8,7501.2,7501.4,18
2026-07-03 09:42:00,7500.6,7501.2,7500.4,7500.4,7501.2,7501.8,7501.0,7501.0,28
2026-07-03 09:43:00,7500.2,7500.9,7499.7,7500.5,7500.8,7501.5,7500.3,7501.1,32
2026-07-03 09:44:00,7500.4,7500.8,7499.7,7499.7,7501.0,7501.4,7500.3,7500.3,21
2026-07-03 09:45:00,7499.5,7499.9,7499.2,7499.2,7500.1,7500.5,7499.8,7499.8,44
2026-07-03 09:46:00,7499.5,7500.1,7498.9,7499.9,7500.1,7500.7,7499.5,7500.5,37
2026-07-03 09:47:00,7499.7,7501.4,7499.7,7501.2,7500.3,7502.0,7500.3,7501.8,31
2026-07-03 09:48:00,7501.4,7501.6,7500.8,7500.8,7502.0,7502.2,7501.4,7501.4,24
2026-07-03 09:49:00,7500.6,7500.9,7500.2,7500.5,7501.2,7501.5,7500.8,7501.1,24
2026-07-03 09:50:00,7500.2,7500.2,7499.5,7499.9,7500.8,7500.8,7500.1,7500.5,28
2026-07-03 09:51:00,7500.2,7500.3,7499.7,7500.1,7500.8,7500.9,7500.3,7500.7,42
2026-07-03 09:52:00,7500.2,7500.3,7499.4,7499.4,7500.8,7500.9,7500.0,7500.0,33
2026-07-03 09:53:00,7499.7,7499.9,7499.4,7499.6,7500.3,7500.5,7500.0,7500.2,37
2026-07-03 09:54:00,7499.9,7500.2,7499.7,7499.9,7500.5,7500.8,7500.3,7500.5,24
2026-07-03 09:55:00,7499.8,7499.9,7499.4,7499.9,7500.4,7500.5,7500.0,7500.5,14
2026-07-03 09:56:00,7499.8,7499.9,7499.4,7499.4,7500.4,7500.5,7500.0,7500.0,29
2026-07-03 09:57:00,7499.7,7500.4,7499.1,7499.9,7500.3,7501.0,7499.7,7500.5,32
2026-07-03 09:58:00,7499.8,7499.9,7498.7,7498.7,7500.4,7500.5,7499.3,7499.3,30
2026-07-03 09:59:00,7499.0,7499.0,7498.2,7498.6,7499.6,7499.6,7498.8,7499.2,20
2026-07-03 10:00:00,7498.4,7498.9,7497.5,7497.9,7499.0,7499.5,7498.1,7498.5,60
2026-07-03 10:01:00,7498.0,7498.5,7497.5,7498.2,7498.6,7499.1,7498.1,7498.8,43
2026-07-03 10:02:00,7498.3,7498.5,7496.9,7497.2,7498.9,7499.1,7497.5,7497.8,56
2026-07-03 10:03:00,7497.3,7498.0,7497.0,7497.8,7497.9,7498.6,7497.6,7498.4,37
2026-07-03 10:04:00,7497.6,7498.4,7497.0,7498.2,7498.2,7499.0,7497.6,7498.8,45
2026-07-03 10:05:00,7498.4,7499.4,7498.3,7499.0,7499.0,7500.0,7498.9,7499.6,44
2026-07-03 10:06:00,7499.1,7500.7,7499.1,7499.8,7499.7,7501.3,7499.7,7500.4,42
2026-07-03 10:07:00,7499.9,7500.4,7499.1,7500.0,7500.5,7501.0,7499.7,7500.6,23
2026-07-03 10:08:00,7499.9,7499.9,7497.4,7497.4,7500.5,7500.5,7498.0,7498.0,33
2026-07-03 10:09:00,7497.7,7498.4,7497.7,7498.4,7498.3,7499.0,7498.3,7499.0,31
2026-07-03 10:10:00,7498.6,7499.0,7498.3,7498.8,7499.2,7499.6,7498.9,7499.4,41
2026-07-03 10:11:00,7498.6,7499.9,7498.5,7499.5,7499.2,7500.5,7499.1,7500.1,54
2026-07-03 10:12:00,7499.7,7499.9,7499.2,7499.6,7500.3,7500.5,7499.8,7500.2,41
2026-07-03 10:13:00,7499.5,7499.5,7497.2,7497.5,7500.1,7500.1,7497.8,7498.1,33
2026-07-03 10:14:00,7497.7,7499.1,7497.7,7497.9,7498.3,7499.7,7498.3,7498.5,36
2026-07-03 10:15:00,7497.8,7498.3,7497.5,7497.7,7498.4,7498.9,7498.1,7498.3,39
2026-07-03 10:16:00,7497.8,7498.5,7497.7,7498.1,7498.4,7499.1,7498.3,7498.7,39
2026-07-03 10:17:00,7498.3,7498.9,7498.0,7498.7,7498.9,7499.5,7498.6,7499.3,44
2026-07-03 10:18:00,7498.5,7499.1,7498.2,7498.9,7499.1,7499.7,7498.8,7499.5,58
2026-07-03 10:19:00,7498.8,7499.6,7498.1,7499.0,7499.4,7500.2,7498.7,7499.6,43
2026-07-03 10:20:00,7498.9,7499.1,7498.1,7498.7,7499.5,7499.7,7498.7,7499.3,29
2026-07-03 10:21:00,7498.6,7498.9,7498.6,7498.8,7499.2,7499.5,7499.2,7499.4,26
2026-07-03 10:22:00,7498.9,7499.4,7497.4,7497.6,7499.5,7500.0,7498.0,7498.2,42
2026-07-03 10:23:00,7497.3,7497.6,7496.8,7496.8,7497.9,7498.2,7497.4,7497.4,51
2026-07-03 10:24:00,7496.9,7498.2,7496.6,7498.0,7497.5,7498.8,7497.2,7498.6,47
2026-07-03 10:25:00,7498.3,7498.9,7498.1,7498.7,7498.9,7499.5,7498.7,7499.3,30
2026-07-03 10:26:00,7498.5,7498.5,7497.9,7498.0,7499.1,7499.1,7498.5,7498.6,39
2026-07-03 10:27:00,7497.9,7497.9,7496.0,7496.1,7498.5,7498.5,7496.6,7496.7,35
2026-07-03 10:28:00,7496.4,7496.9,7496.1,7496.6,7497.0,7497.5,7496.7,7497.2,32
2026-07-03 10:29:00,7496.9,7497.6,7496.7,7497.2,7497.5,7498.2,7497.3,7497.8,58
2026-07-03 10:30:00,7497.1,7497.5,7495.7,7496.1,7497.7,7498.1,7496.3,7496.7,60
2026-07-03 10:31:00,7496.0,7496.8,7495.6,7496.5,7496.6,7497.4,7496.2,7497.1,52
2026-07-03 10:32:00,7496.3,7497.1,7496.0,7496.8,7496.9,7497.7,7496.6,7497.4,45
2026-07-03 10:33:00,7496.7,7497.0,7495.8,7496.3,7497.3,7497.6,7496.4,7496.9,37
2026-07-03 10:34:00,7496.2,7496.3,7495.7,7496.0,7496.8,7496.9,7496.3,7496.6,19
2026-07-03 10:35:00,7495.9,7497.7,7495.9,7497.7,7496.5,7498.3,7496.5,7498.3,38
2026-07-03 10:36:00,7497.8,7498.3,7497.7,7498.2,7498.4,7498.9,7498.3,7498.8,19
2026-07-03 10:37:00,7498.0,7498.6,7497.9,7498.6,7498.6,7499.2,7498.5,7499.2,40
2026-07-03 10:38:00,7498.9,7499.0,7497.7,7498.1,7499.5,7499.6,7498.3,7498.7,37
2026-07-03 10:39:00,7497.9,7498.5,7497.5,7498.2,7498.5,7499.1,7498.1,7498.8,50
2026-07-03 10:40:00,7498.4,7499.0,7497.9,7499.0,7499.0,7499.6,7498.5,7499.6,35
2026-07-03 10:41:00,7498.8,7499.3,7498.8,7498.8,7499.4,7499.9,7499.4,7499.4,26
2026-07-03 10:42:00,7498.9,7500.0,7498.9,7498.9,7499.5,7500.6,7499.5,7499.5,33
2026-07-03 10:43:00,7499.1,7499.4,7498.8,7498.8,7499.7,7500.0,7499.4,7499.4,33
2026-07-03 10:44:00,7499.0,7499.0,7498.3,7498.9,7499.6,7499.6,7498.9,7499.5,37
2026-07-03 10:45:00,7499.0,7499.0,7498.1,7498.1,7499.6,7499.6,7498.7,7498.7,36
2026-07-03 10:46:00,7497.9,7498.0,7496.3,7496.3,7498.5,7498.6,7496.9,7496.9,43
2026-07-03 10:47:00,7496.5,7496.8,7495.7,7496.7,7497.1,7497.4,7496.3,7497.3,50
2026-07-03 10:48:00,7496.5,7496.8,7495.0,7495.5,7497.1,7497.4,7495.6,7496.1,36
2026-07-03 10:49:00,7495.3,7495.6,7493.3,7493.3,7495.9,7496.2,7493.9,7493.9,43
2026-07-03 10:50:00,7493.5,7494.7,7493.5,7494.6,7494.1,7495.3,7494.1,7495.2,31
